SKU,ItemDescription,CumulativeUnitsCanada,Province,CustomerNo,CustomerName,SalesRep,Currency,PostingDate,OrderQuantity,AmountExclVAT,AmountInclVAT
10199-02,"Adelfia, 5 Light Linear LED Chandelier, Matte Black",10,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-21,1.0,520.65,546.68
10199-02,"Adelfia, 5 Light Linear LED Chandelier, Matte Black",10,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-21,3.0,2042.55,2144.68
10199-02,"Adelfia, 5 Light Linear LED Chandelier, Matte Black",10,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,2.0,1281.6,1345.68
10199-030,"Adelfia, 5 Light Linear LED Chandelier, Painted Antique Brass",11,BC,C00095,McLaren Lighting - Victoria,MR - Luminescence,CAD,2025-10-17,1.0,801.0,841.05
10199-030,"Adelfia, 5 Light Linear LED Chandelier, Painted Antique Brass",11,BC,C00095,McLaren Lighting - Victoria,MR - Luminescence,CAD,2025-09-19,1.0,801.0,841.05
10199-030,"Adelfia, 5 Light Linear LED Chandelier, Painted Antique Brass",11,BC,C00444,Robinson - Granville,MR - Luminescence,CAD,2025-05-20,1.0,801.0,841.05
10199-030,"Adelfia, 5 Light Linear LED Chandelier, Painted Antique Brass",11,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-11-04,2.0,1441.8,1513.89
10199-030,"Adelfia, 5 Light Linear LED Chandelier, Painted Antique Brass",11,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,3.0,1922.4,2018.52
10199-030,"Adelfia, 5 Light Linear LED Chandelier, Painted Antique Brass",11,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-04-11,1.0,801.0,841.05
10199-030,"Adelfia, 5 Light Linear LED Chandelier, Painted Antique Brass",11,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-01-21,2.0,1271.6,1335.18
10200-02,"Adelfia, 14 Light Rectangular LED Chandelier, Matte Black",3,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-09-12,1.0,1920.0,2016.0
10200-02,"Adelfia, 14 Light Rectangular LED Chandelier, Matte Black",3,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-21,1.0,1248.0,1310.4
10200-02,"Adelfia, 14 Light Rectangular LED Chandelier, Matte Black",3,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-21,1.0,1632.0,1713.6
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-03-13,3.0,684.0,718.2
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-10-03,2.0,456.0,478.8
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-02-19,1.0,159.6,167.58
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-09-05,3.0,684.0,718.2
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-08-12,1.0,228.0,239.4
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-10-31,1.0,228.0,239.4
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-06-20,2.0,456.0,478.8
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-05-14,2.0,364.8,383.04
10202-02,"Baveno, 1 Light LED Pendant, Matte Black",16,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-01-21,1.0,181.05,190.1
10202-02-02,"Baveno, 1 Light LED Pendant, Matte Black",4,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-09-23,1.0,410.0,430.5
10202-02-02,"Baveno, 1 Light LED Pendant, Matte Black",4,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-09-19,3.0,1230.0,1291.5
10202-5-2-02,"Baveno 2 Light Pendant, Matte Black",3,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-10-08,3.0,1230.0,1291.5
10202-030,"Baveno, 1 Light LED Pendant, Painted Antique Brass",3,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-02-14,1.0,159.6,167.58
